id,gid,x,y,v_x,v_y,radius,time
0,0,-8.951247,-1.022927,0.487532,-0.229269,0.750000,0.100000
1,0,-8.945979,1.036437,0.540210,0.364366,0.750000,0.100000
2,1,-0.035141,-0.037169,-0.351407,-0.371692,0.750000,0.100000
0,0,-8.888233,-1.053921,0.630141,-0.309939,0.750000,0.200000
1,0,-8.853882,1.075381,0.920965,0.389445,0.750000,0.200000
2,1,-0.110581,-0.090488,-0.754400,-0.533190,0.750000,0.200000
0,0,-8.828964,-1.089291,0.592682,-0.353705,0.750000,0.300000
1,0,-8.760685,1.106020,0.931975,0.306388,0.750000,0.300000
2,1,-0.154946,-0.141287,-0.443648,-0.507985,0.750000,0.300000
0,0,-8.763294,-1.138069,0.656705,-0.487776,0.750000,0.400000
1,0,-8.673078,1.137562,0.876073,0.315426,0.750000,0.400000
2,1,-0.197093,-0.190700,-0.421478,-0.494132,0.750000,0.400000
0,0,-8.668762,-1.167712,0.945316,-0.296427,0.750000,0.500000
1,0,-8.589504,1.169949,0.835734,0.323869,0.750000,0.500000
2,1,-0.261556,-0.245810,-0.644629,-0.551104,0.750000,0.500000
0,0,-8.569337,-1.212517,0.994258,-0.448053,0.750000,0.600000
1,0,-8.491198,1.191000,0.983063,0.210502,0.750000,0.600000
2,1,-0.317752,-0.304327,-0.561959,-0.585168,0.750000,0.600000
0,0,-8.468678,-1.254816,1.006586,-0.422989,0.750000,0.700000
1,0,-8.382971,1.213990,1.082266,0.229903,0.750000,0.700000
2,1,-0.370328,-0.368984,-0.525753,-0.646570,0.750000,0.700000
0,0,-8.350701,-1.302477,1.179767,-0.476612,0.750000,0.800000
1,0,-8.276475,1.251654,1.064969,0.376644,0.750000,0.800000
2,1,-0.423810,-0.431255,-0.534821,-0.622710,0.750000,0.800000
0,0,-8.230585,-1.338648,1.201160,-0.361707,0.750000,0.900000
1,0,-8.162613,1.284434,1.138619,0.327794,0.750000,0.900000
2,1,-0.471108,-0.482321,-0.472981,-0.510658,0.750000,0.900000
0,0,-8.094266,-1.383542,1.363198,-0.448944,0.750000,1.000000
1,0,-8.034453,1.300450,1.281598,0.160166,0.750000,1.000000
2,1,-0.525523,-0.555020,-0.544157,-0.726994,0.750000,1.000000
0,0,-7.936426,-1.419391,1.578396,-0.358486,0.750000,1.100000
1,0,-7.913754,1.331832,1.206991,0.313814,0.750000,1.100000
2,1,-0.605382,-0.619168,-0.798583,-0.641481,0.750000,1.100000
0,0,-7.768293,-1.481603,1.681330,-0.622120,0.750000,1.200000
1,0,-7.794554,1.356173,1.191992,0.243416,0.750000,1.200000
2,1,-0.683879,-0.679756,-0.784967,-0.605880,0.750000,1.200000
0,0,-7.595997,-1.534068,1.722962,-0.524648,0.750000,1.300000
1,0,-7.644432,1.373296,1.501222,0.171226,0.750000,1.300000
2,1,-0.754592,-0.736021,-0.707138,-0.562648,0.750000,1.300000
0,0,-7.444149,-1.574645,1.518480,-0.405779,0.750000,1.400000
1,0,-7.495630,1.387636,1.488019,0.143396,0.750000,1.400000
2,1,-0.848330,-0.795197,-0.937372,-0.591759,0.750000,1.400000
0,0,-7.300365,-1.624383,1.437840,-0.497373,0.750000,1.500000
1,0,-7.353589,1.413982,1.420418,0.263470,0.750000,1.500000
2,1,-0.954835,-0.858246,-1.065059,-0.630490,0.750000,1.500000
0,0,-7.169249,-1.692193,1.311162,-0.678099,0.750000,1.600000
1,0,-7.230822,1.453797,1.227664,0.398150,0.750000,1.600000
2,1,-1.066948,-0.932691,-1.121127,-0.744452,0.750000,1.600000
0,0,-7.055445,-1.750583,1.138036,-0.583905,0.750000,1.700000
1,0,-7.094707,1.459706,1.361147,0.059082,0.750000,1.700000
2,1,-1.173162,-1.002476,-1.062142,-0.697848,0.750000,1.700000
0,0,-6.943844,-1.810117,1.116010,-0.595334,0.750000,1.800000
1,0,-6.944384,1.460819,1.503230,0.011130,0.750000,1.800000
2,1,-1.275680,-1.083955,-1.025181,-0.814786,0.750000,1.800000
0,0,-6.821419,-1.865063,1.224249,-0.549465,0.750000,1.900000
1,0,-6.793855,1.473235,1.505293,0.124166,0.750000,1.900000
2,1,-1.383061,-1.152697,-1.073810,-0.687427,0.750000,1.900000
0,0,-6.693646,-1.921205,1.277728,-0.561421,0.750000,2.000000
1,0,-6.666254,1.509115,1.276014,0.358797,0.750000,2.000000
2,1,-1.486855,-1.243095,-1.037932,-0.903974,0.750000,2.000000
0,0,-6.566290,-1.976929,1.273562,-0.557240,0.750000,2.100000
1,0,-6.538536,1.540706,1.277174,0.315910,0.750000,2.100000
2,1,-1.587000,-1.332835,-1.001449,-0.897404,0.750000,2.100000
0,0,-6.440226,-2.033543,1.260638,-0.566142,0.750000,2.200000
