id,gid,x,y,v_x,v_y,radius,time
0,0,-8.953832,-0.979744,0.461680,0.202563,0.750000,0.100000
1,0,-8.970678,1.007735,0.293224,0.077351,0.750000,0.100000
2,1,-0.009613,-0.006167,-0.096130,-0.061669,0.750000,0.100000
0,0,-8.908735,-0.952432,0.450970,0.273121,0.750000,0.200000
1,0,-8.873814,1.026208,0.968635,0.184725,0.750000,0.200000
2,1,-0.055564,-0.034312,-0.459506,-0.281451,0.750000,0.200000
0,0,-8.846393,-0.934332,0.623416,0.180996,0.750000,0.300000
1,0,-8.750454,1.062313,1.233605,0.361051,0.750000,0.300000
2,1,-0.141990,-0.059815,-0.864268,-0.255032,0.750000,0.300000
0,0,-8.768139,-0.911375,0.782545,0.229566,0.750000,0.400000
1,0,-8.632090,1.093476,1.183641,0.311630,0.750000,0.400000
2,1,-0.268493,-0.095234,-1.265023,-0.354192,0.750000,0.400000
0,0,-8.666565,-0.879014,1.015738,0.323612,0.750000,0.500000
1,0,-8.525328,1.109226,1.067615,0.157507,0.750000,0.500000
2,1,-0.422308,-0.141239,-1.538149,-0.460043,0.750000,0.500000
0,0,-8.569484,-0.840114,0.970814,0.388999,0.750000,0.600000
1,0,-8.410308,1.120624,1.150197,0.113974,0.750000,0.600000
2,1,-0.561446,-0.192476,-1.391388,-0.512374,0.750000,0.600000
0,0,-8.442702,-0.860343,1.267820,-0.202291,0.750000,0.700000
1,0,-8.307063,1.124158,1.032453,0.035339,0.750000,0.700000
2,1,-0.690040,-0.230192,-1.285936,-0.377162,0.750000,0.700000
0,0,-8.319581,-0.885660,1.231210,-0.253162,0.750000,0.800000
1,0,-8.188263,1.126756,1.187996,0.025981,0.750000,0.800000
2,1,-0.810406,-0.266318,-1.203663,-0.361261,0.750000,0.800000
0,0,-8.195890,-0.911598,1.236906,-0.259381,0.750000,0.900000
1,0,-8.048006,1.135319,1.402574,0.085631,0.750000,0.900000
2,1,-0.906556,-0.332627,-0.961493,-0.663087,0.750000,0.900000
0,0,-8.081737,-0.934879,1.141535,-0.232815,0.750000,1.000000
1,0,-7.911115,1.146697,1.368913,0.113778,0.750000,1.000000
2,1,-1.031252,-0.370920,-1.246966,-0.382929,0.750000,1.000000
0,0,-7.947585,-0.960172,1.341520,-0.252931,0.750000,1.100000
1,0,-7.795276,1.154434,1.158385,0.077367,0.750000,1.100000
2,1,-1.120113,-0.404468,-0.888612,-0.335485,0.750000,1.100000
0,0,-7.841853,-0.994168,1.057312,-0.339954,0.750000,1.200000
1,0,-7.676153,1.167786,1.191231,0.133529,0.750000,1.200000
2,1,-1.196705,-0.438172,-0.765912,-0.337040,0.750000,1.200000
0,0,-7.706781,-1.021531,1.350725,-0.273637,0.750000,1.300000
1,0,-7.548196,1.170964,1.279574,0.031773,0.750000,1.300000
2,1,-1.288281,-0.477309,-0.915767,-0.391368,0.750000,1.300000
0,0,-7.561463,-1.049130,1.453179,-0.275984,0.750000,1.400000
1,0,-7.432551,1.186246,1.156445,0.152822,0.750000,1.400000
2,1,-1.385721,-0.528747,-0.974402,-0.514383,0.750000,1.400000
0,0,-7.436564,-1.072382,1.248992,-0.232522,0.750000,1.500000
1,0,-7.315008,1.194411,1.175434,0.081654,0.750000,1.500000
2,1,-1.484881,-0.593124,-0.991597,-0.643761,0.750000,1.500000
0,0,-7.315441,-1.115207,1.211231,-0.428250,0.750000,1.600000
1,0,-7.179541,1.204316,1.354671,0.099052,0.750000,1.600000
2,1,-1.591679,-0.653882,-1.067982,-0.607589,0.750000,1.600000
0,0,-7.199743,-1.143229,1.156977,-0.280221,0.750000,1.700000
1,0,-7.049726,1.202233,1.298147,-0.020831,0.750000,1.700000
2,1,-1.697575,-0.699152,-1.058953,-0.452698,0.750000,1.700000
0,0,-7.092489,-1.183725,1.072538,-0.404959,0.750000,1.800000
1,0,-6.911795,1.213476,1.379311,0.112426,0.750000,1.800000
2,1,-1.789504,-0.739796,-0.919290,-0.406437,0.750000,1.800000
0,0,-6.973241,-1.228269,1.192479,-0.445441,0.750000,1.900000
1,0,-6.758833,1.204845,1.529619,-0.086306,0.750000,1.900000
2,1,-1.880195,-0.782090,-0.906915,-0.422946,0.750000,1.900000
0,0,-6.841551,-1.259156,1.316905,-0.308871,0.750000,2.000000
1,0,-6.610230,1.213102,1.486028,0.082562,0.750000,2.000000
2,1,-2.002024,-0.837922,-1.218283,-0.558321,0.750000,2.000000
0,0,-6.718122,-1.298868,1.234289,-0.397115,0.750000,2.100000
1,0,-6.480305,1.221596,1.299254,0.084945,0.750000,2.100000
2,1,-2.125867,-0.898159,-1.238435,-0.602366,0.750000,2.100000
0,0,-6.606414,-1.340795,1.117080,-0.419269,0.750000,2.200000
1,0,-6.336623,1.222431,1.436821,0.008347,0.750000,2.200000
2,1,-2.246575,-0.967971,-1.207075,-0.698123,0.750000,2.200000
0,0,-6.494711,-1.374200,1.117026,-0.334059,0.750000,2.300000
1,0,-6.190659,1.216069,1.459636,-0.063616,0.750000,2.300000
2,1,-2.371169,-1.032209,-1.245944,-0.642375,0.750000,2.300000
0,0,-6.380093,-1.410925,1.146189,-0.367246,0.750000,2.400000
1,0,-6.063317,1.206209,1.273424,-0.098606,0.750000,2.400000
2,1,-2.473037,-1.083634,-1.018678,-0.514252,0.750000,2.400000
0,0,-6.237238,-1.476916,1.428549,-0.659906,0.750000,2.500000
1,0,-5.920391,1.216244,1.429257,0.100354,0.750000,2.500000
2,1,-2.598450,-1.148578,-1.254131,-0.649440,0.750000,2.500000
0,0,-6.091485,-1.528790,1.457526,-0.518746,0.750000,2.600000
1,0,-5.798617,1.228142,1.217736,0.118978,0.750000,2.600000
2,1,-2.706996,-1.211492,-1.085465,-0.629138,0.750000,2.600000
0,0,-5.966048,-1.605543,1.254369,-0.767525,0.750000,2.700000
1,0,-5.680552,1.238870,1.180651,0.107279,0.750000,2.700000
2,1,-2.788618,-1.287892,-0.816217,-0.764003,0.750000,2.700000
0,0,-5.850205,-1.669806,1.158430,-0.642635,0.750000,2.800000
1,0,-5.548523,1.246039,1.320288,0.071689,0.750000,2.800000
2,1,-2.883020,-1.364971,-0.944025,-0.770783,0.750000,2.800000
0,0,-5.749472,-1.737431,1.007333,-0.676247,0.750000,2.900000
1,0,-5.408121,1.249128,1.404023,0.030900,0.750000,2.900000
2,1,-2.947295,-1.422525,-0.642743,-0.575543,0.750000,2.900000
0,0,-5.647870,-1.789835,1.016023,-0.524045,0.750000,3.000000
1,0,-5.278570,1.252988,1.295506,0.038600,0.750000,3.000000
2,1,-3.033339,-1.493605,-0.860444,-0.710800,0.750000,3.000000
0,0,-5.553350,-1.857849,0.945192,-0.680140,0.750000,3.100000
