id,gid,x,y,v_x,v_y,radius,time
0,0,7.997375,0.000001,-0.026254,0.000008,0.500000,0.100000
1,1,5.655209,5.655209,-0.016407,-0.016407,0.500000,0.100000
2,2,0.000000,7.997271,0.000008,-0.027289,0.500000,0.100000
3,3,-5.654979,5.654979,0.018713,-0.018708,0.500000,0.100000
4,4,-7.997638,-0.000000,0.023625,0.000006,0.500000,0.100000
5,5,-5.654942,-5.654953,0.019079,0.019067,0.500000,0.100000
6,6,0.000000,-7.997233,0.000000,0.027665,0.500000,0.100000
7,7,5.655186,-5.655174,-0.016744,0.016759,0.500000,0.100000
0,0,7.992176,0.000003,-0.051983,0.000017,0.500000,0.200000
1,1,5.651961,5.651961,-0.032486,-0.032486,0.500000,0.200000
2,2,0.000002,7.991868,0.000015,-0.054031,0.500000,0.200000
3,3,-5.651274,5.651275,0.037051,-0.037042,0.500000,0.200000
4,4,-7.992960,0.000001,0.046777,0.000011,0.500000,0.200000
5,5,-5.651164,-5.651178,0.037777,0.037752,0.500000,0.200000
6,6,0.000000,-7.991756,0.000000,0.054777,0.500000,0.200000
7,7,5.651870,-5.651856,-0.033153,0.033183,0.500000,0.200000
0,0,7.984457,0.000005,-0.077197,0.000025,0.500000,0.300000
1,1,5.647136,5.647136,-0.048243,-0.048244,0.500000,0.300000
2,2,0.000004,7.983844,0.000022,-0.080239,0.500000,0.300000
3,3,-5.645771,5.645774,0.055022,-0.055009,0.500000,0.300000
4,4,-7.986013,0.000003,0.069466,0.000016,0.500000,0.300000
5,5,-5.645554,-5.645572,0.056101,0.056063,0.500000,0.300000
6,6,0.000000,-7.983621,0.000000,0.081347,0.500000,0.300000
7,7,5.646947,-5.646928,-0.049235,0.049278,0.500000,0.300000
0,0,7.974266,0.000008,-0.101907,0.000033,0.500000,0.400000
1,1,5.640768,5.640768,-0.063685,-0.063686,0.500000,0.400000
2,2,0.000007,7.973252,0.000029,-0.105923,0.500000,0.400000
3,3,-5.638508,5.638512,0.072634,-0.072617,0.500000,0.400000
4,4,-7.976843,0.000005,0.091701,0.000022,0.500000,0.400000
5,5,-5.638149,-5.638171,0.074058,0.074009,0.500000,0.400000
