id,gid,x,y,v_x,v_y,radius,time
0,0,7.936031,0.000008,-0.639690,0.000085,0.500000,0.100000
1,1,5.613774,5.613774,-0.430757,-0.430759,0.500000,0.100000
2,2,0.000007,7.934996,0.000075,-0.650039,0.500000,0.100000
3,3,-5.611469,5.611473,0.453812,-0.453768,0.500000,0.100000
4,4,-7.938660,0.000005,0.613399,0.000055,0.500000,0.100000
5,5,-5.611102,-5.611125,0.457479,0.457354,0.500000,0.100000
6,6,0.000000,-7.934620,0.000001,0.653804,0.500000,0.100000
7,7,5.613447,-5.613422,-0.434130,0.434277,0.500000,0.100000
0,0,7.847301,0.000145,-0.887299,0.001370,0.500000,0.200000
1,1,5.554278,5.554003,-0.594965,-0.597709,0.500000,0.200000
2,2,0.000831,7.844709,0.008239,-0.902873,0.500000,0.200000
3,3,-5.549099,5.547899,0.623703,-0.635746,0.500000,0.200000
4,4,-7.853719,0.000106,0.849412,0.001010,0.500000,0.200000
5,5,-5.548263,-5.546936,0.628392,0.641887,0.500000,0.200000
6,6,0.000823,-7.843767,0.008228,0.908529,0.500000,0.200000
7,7,5.553510,-5.553087,-0.599368,0.603351,0.500000,0.200000
0,0,7.745893,0.000337,-1.014085,0.001911,0.500000,0.300000
1,1,5.487203,5.486246,-0.670743,-0.677573,0.500000,0.300000
2,2,0.001562,7.741196,0.007308,-1.035132,0.500000,0.300000
3,3,-5.477581,5.475457,0.715179,-0.724413,0.500000,0.300000
4,4,-7.757779,0.000261,0.959402,0.001547,0.500000,0.300000
5,5,-5.476178,-5.473648,0.720849,0.732875,0.500000,0.300000
6,6,0.001542,-7.739552,0.007188,1.042142,0.500000,0.300000
7,7,5.485926,-5.484537,-0.675845,0.685502,0.500000,0.300000
0,0,7.621035,0.000678,-1.248578,0.003412,0.500000,0.400000
1,1,5.401785,5.399077,-0.854182,-0.871689,0.500000,0.400000
2,2,0.001076,7.612675,-0.004856,-1.285207,0.500000,0.400000
3,3,-5.386937,5.386682,0.906437,-0.887758,0.500000,0.400000
4,4,-7.636513,0.000539,1.212657,0.002782,0.500000,0.400000
5,5,-5.385377,-5.383823,0.908007,0.898250,0.500000,0.400000
6,6,0.001050,-7.610387,-0.004920,1.291655,0.500000,0.400000
7,7,5.400425,-5.396433,-0.855002,0.881040,0.500000,0.400000
0,0,7.501779,0.001027,-1.192557,0.003493,0.500000,0.500000
1,1,5.320617,5.317214,-0.811681,-0.818634,0.500000,0.500000
2,2,0.001938,7.489009,0.008614,-1.236656,0.500000,0.500000
3,3,-5.300999,5.300637,0.859375,-0.860450,0.500000,0.500000
4,4,-7.521871,0.000891,1.146417,0.003525,0.500000,0.500000
5,5,-5.298974,-5.296660,0.864029,0.871634,0.500000,0.500000
6,6,0.001919,-7.485887,0.008690,1.244995,0.500000,0.500000
7,7,5.318914,-5.313528,-0.815113,0.829054,0.500000,0.500000
0,0,7.384682,0.001417,-1.170973,0.003896,0.500000,0.600000
1,1,5.241144,5.236148,-0.794728,-0.810653,0.500000,0.600000
2,2,0.001934,7.366418,-0.000040,-1.225908,0.500000,0.600000
3,3,-5.215636,5.216304,0.853639,-0.843328,0.500000,0.600000
4,4,-7.409237,0.001222,1.126342,0.003303,0.500000,0.600000
5,5,-5.213235,-5.211025,0.857393,0.856348,0.500000,0.600000
6,6,0.001911,-7.362422,-0.000078,1.234651,0.500000,0.600000
7,7,5.239189,-5.231306,-0.797251,0.822213,0.500000,0.600000
0,0,7.269759,0.001852,-1.149225,0.004349,0.500000,0.700000
1,1,5.163015,5.156816,-0.781292,-0.793322,0.500000,0.700000
2,2,0.002640,7.245326,0.007065,-1.210921,0.500000,0.700000
3,3,-5.131965,5.132927,0.836706,-0.833772,0.500000,0.700000
4,4,-7.299024,0.001625,1.102132,0.004034,0.500000,0.700000
5,5,-5.129122,-5.126287,0.841126,0.847387,0.500000,0.700000
6,6,0.002622,-7.240410,0.007107,1.220119,0.500000,0.700000
7,7,5.160776,-5.150760,-0.784129,0.805469,0.500000,0.700000
0,0,7.157171,0.002305,-1.125884,0.004536,0.500000,0.800000
1,1,5.086437,5.078674,-0.765780,-0.781419,0.500000,0.800000
2,2,0.002940,7.125689,0.002998,-1.196373,0.500000,0.800000
3,3,-5.049396,5.051114,0.825693,-0.818126,0.500000,0.800000
4,4,-7.190836,0.002031,1.081876,0.004057,0.500000,0.800000
5,5,-5.046128,-5.043013,0.829941,0.832740,0.500000,0.800000
6,6,0.002926,-7.119816,0.003047,1.205942,0.500000,0.800000
7,7,5.083946,-5.071338,-0.768301,0.794214,0.500000,0.800000
0,0,7.046699,0.002787,-1.104721,0.004814,0.500000,0.900000
1,1,5.011150,5.001998,-0.752871,-0.766764,0.500000,0.900000
2,2,0.003615,7.007560,0.006750,-1.181287,0.500000,0.900000
3,3,-4.968330,4.970464,0.810656,-0.806497,0.500000,0.900000
4,4,-7.084793,0.002469,1.060430,0.004389,0.500000,0.900000
5,5,-4.964611,-4.960848,0.815177,0.821642,0.500000,0.900000
6,6,0.003608,-7.000706,0.006817,1.191106,0.500000,0.900000
7,7,5.008405,-4.993346,-0.755415,0.779922,0.500000,0.900000
0,0,6.938417,0.003281,-1.082813,0.004940,0.500000,1.000000
1,1,4.937268,4.926555,-0.738823,-0.754428,0.500000,1.000000
2,2,0.004093,6.890907,0.004783,-1.166534,0.500000,1.000000
3,3,-4.888484,4.891236,0.798458,-0.792284,0.500000,1.000000
4,4,-6.980686,0.002917,1.041077,0.004476,0.500000,1.000000
5,5,-4.884313,-4.880044,0.802977,0.808041,0.500000,1.000000
6,6,0.004098,-6.883052,0.004898,1.176537,0.500000,1.000000
7,7,4.934285,-4.916552,-0.741199,0.767943,0.500000,1.000000
0,0,6.832181,0.003790,-1.062359,0.005099,0.500000,1.100000
1,1,4.864645,4.852468,-0.726230,-0.740872,0.500000,1.100000
2,2,0.004783,6.775733,0.006894,-1.151739,0.500000,1.100000
3,3,-4.810040,4.813230,0.784440,-0.780055,0.500000,1.100000
4,4,-6.878585,0.003381,1.021005,0.004637,0.500000,1.100000
5,5,-4.805402,-4.800421,0.789111,0.796235,0.500000,1.100000
6,6,0.004799,-6.766868,0.007013,1.161837,0.500000,1.100000
7,7,4.861430,-4.841091,-0.728542,0.754609,0.500000,1.100000
0,0,6.728021,0.004309,-1.041605,0.005181,0.500000,1.200000
1,1,4.793339,4.779613,-0.713053,-0.728544,0.500000,1.200000
2,2,0.005372,6.661997,0.005891,-1.137355,0.500000,1.200000
3,3,-4.732846,4.736560,0.771943,-0.766708,0.500000,1.200000
4,4,-6.778365,0.003852,1.002200,0.004707,0.500000,1.200000
5,5,-4.727735,-4.722089,0.776666,0.783315,0.500000,1.200000
6,6,0.005405,-6.652119,0.006062,1.147491,0.500000,1.200000
7,7,4.789906,-4.766843,-0.715248,0.742475,0.500000,1.200000
0,0,6.625841,0.004836,-1.021798,0.005270,0.500000,1.300000
1,1,4.723260,4.708049,-0.700799,-0.715646,0.500000,1.300000
2,2,0.006089,6.549677,0.007177,-1.123201,0.500000,1.300000
3,3,-4.656988,4.661116,0.758580,-0.754439,0.500000,1.300000
4,4,-6.680066,0.004330,0.982989,0.004786,0.500000,1.300000
5,5,-4.651394,-4.644950,0.763416,0.771393,0.500000,1.300000
6,6,0.006141,-6.538788,0.007353,1.133308,0.500000,1.300000
7,7,4.719616,-4.693873,-0.702900,0.729703,0.500000,1.300000
0,0,6.525655,0.005367,-1.001864,0.005319,0.500000,1.400000
1,1,4.654434,4.637700,-0.688259,-0.703489,0.500000,1.400000
2,2,0.006754,6.438722,0.006644,-1.109552,0.500000,1.400000
3,3,-4.582377,4.586948,0.746108,-0.741680,0.500000,1.400000
4,4,-6.583604,0.004813,0.964626,0.004826,0.500000,1.400000
5,5,-4.576292,-4.569052,0.751020,0.758975,0.500000,1.400000
6,6,0.006828,-6.426830,0.006872,1.119579,0.500000,1.400000
7,7,4.650590,-4.622108,-0.690257,0.717645,0.500000,1.400000
0,0,6.427399,0.005904,-0.982562,0.005368,0.500000,1.500000
1,1,4.586796,4.568593,-0.676373,-0.691071,0.500000,1.500000
2,2,0.007504,6.329090,0.007506,-1.096325,0.500000,1.500000
3,3,-4.509056,4.513991,0.733208,-0.729563,0.500000,1.500000
