id,gid,x,y,v_x,v_y,radius,time
0,0,7.973746,0.000008,-0.262538,0.000085,0.500000,0.100000
1,1,5.640443,5.640443,-0.164070,-0.164073,0.500000,0.100000
2,2,0.000007,7.972711,0.000075,-0.272886,0.500000,0.100000
3,3,-5.638137,5.638142,0.187125,-0.187081,0.500000,0.100000
4,4,-7.976375,0.000005,0.236246,0.000056,0.500000,0.100000
5,5,-5.637771,-5.637793,0.190793,0.190666,0.500000,0.100000
6,6,0.000000,-7.972335,0.000000,0.276652,0.500000,0.100000
7,7,5.640116,-5.640091,-0.167442,0.167591,0.500000,0.100000
0,0,7.933774,-0.000791,-0.399725,-0.007994,0.500000,0.200000
1,1,5.606363,5.603977,-0.340803,-0.364662,0.500000,0.200000
2,2,-0.007813,7.922011,-0.078206,-0.507008,0.500000,0.200000
3,3,-5.604402,5.603343,0.337359,-0.347989,0.500000,0.200000
4,4,-7.917770,0.002528,0.586054,0.025231,0.500000,0.200000
5,5,-5.603991,-5.605127,0.337802,0.326661,0.500000,0.200000
6,6,-0.007738,-7.920691,-0.077379,0.516437,0.500000,0.200000
7,7,5.607240,-5.602177,-0.328762,0.379142,0.500000,0.200000
0,0,7.875542,-0.001421,-0.582318,-0.006297,0.500000,0.300000
1,1,5.555659,5.557012,-0.507038,-0.469644,0.500000,0.300000
2,2,-0.011855,7.852703,-0.040417,-0.693079,0.500000,0.300000
3,3,-5.553862,5.559641,0.505391,-0.437017,0.500000,0.300000
4,4,-7.847261,0.004548,0.705089,0.020204,0.500000,0.300000
5,5,-5.552501,-5.561055,0.514899,0.440723,0.500000,0.300000
6,6,-0.012182,-7.852148,-0.044442,0.685428,0.500000,0.300000
7,7,5.557071,-5.553524,-0.501689,0.486522,0.500000,0.300000
0,0,7.802703,-0.001914,-0.728392,-0.004929,0.500000,0.400000
1,1,5.493819,5.503551,-0.618397,-0.534610,0.500000,0.400000
2,2,-0.014148,7.768822,-0.022931,-0.838806,0.500000,0.400000
3,3,-5.492201,5.501777,0.616614,-0.578646,0.500000,0.400000
4,4,-7.764607,0.005693,0.826540,0.011448,0.500000,0.400000
5,5,-5.489689,-5.502552,0.628112,0.585032,0.500000,0.400000
6,6,-0.014625,-7.767060,-0.024435,0.850883,0.500000,0.400000
7,7,5.495365,-5.499319,-0.617058,0.542055,0.500000,0.400000
0,0,7.718177,-0.002296,-0.845252,-0.003825,0.500000,0.500000
1,1,5.420955,5.442849,-0.728643,-0.607019,0.500000,0.500000
2,2,-0.018086,7.670509,-0.039383,-0.983128,0.500000,0.500000
3,3,-5.420072,5.436415,0.721293,-0.653615,0.500000,0.500000
4,4,-7.664729,0.006289,0.998785,0.005959,0.500000,0.500000
5,5,-5.416710,-5.436091,0.729796,0.664612,0.500000,0.500000
6,6,-0.018321,-7.667392,-0.036953,0.996678,0.500000,0.500000
